Carrer_Goal,Celebrity,Gender,Education,Location,Age,Hobby,Language,Skills,Lifestyle,College,user_id
IPS,Rajkummar Rao,Female,MTech Mechanical,Surathkal,23,Football,Assamese,Mobile App Development,Urban,IIT Kanpur,167
IAS,Katrina Kaif,Female,BTech Information Technology,Ranchi,21,Hiking,Maithili,Cyber Security,Urban,IIT Jodhpur,168
Data Analyst,Sara Ali Khan,Male,BTech Metallurgical and Materials,Aurangabad,21,PC Gaming,Tamil,Public Speaking,Urban,NIT Surathkal,169
App Development,Kareena Kapoor,Male,MTech Electronics and Communication,Delhi,23,Swimming,Odia,Social Media Management,Urban,IIT Bombay,170
Professor,Ranbir Kapoor,Male,BTech Mechanical,Coimbatore,21,Cricket,Hindi,Social Media Management,Minimalist,IIT Madras,171
Teacher,Ranbir Kapoor,Female,BTech Information Technology,Srinagar,19,Anime,Tamil,Digital Marketing,Urban,IIT Jodhpur,172
Teacher,Shah Rukh Khan,Male,MTech Civil,Haora,23,Kabaddi,Assamese,Graphic Design,Urban,NIT Allahabad,173
Teacher,Hrithik Roshan,Female,BTech Metallurgical and Materials,Ranchi,20,Yoga,Odia,UI/UX Design,Urban,IIT BHU,174
Software Developer,Janhvi Kapoor,Male,BTech Electrical and Electronics,Aurangabad,20,Yoga,Maithili,UI/UX Research,Minimalist,IIT Indore,175
Teacher,Anushka Sharma,Female,BTech Metallurgical and Materials,Surathkal,20,Photography,Odia,Animation,Urban,IIT Kharagpur,176
Entrepreneur,Ayushmann Khurrana,Male,MTech Information Technology,Amritsar,22,Chess,Malayalam,Machine Learning,Minimalist,NIT Durgapur,177
Web Developer,Rajkummar Rao,Male,BTech Mechanical,Vadodara,18,Hangout,Malayalam,Data Science,Urban,NIT Kurukshetra,178
IPS,Virat Kohli,Male,BTech Electronics and Communication,Jodhpur,21,Kabaddi,Odia,UI/UX Research,Minimalist,NIT Trichy,179
Teacher,Ranveer Singh,Female,BTech Electronics and Communication,Agra,21,Hangout,Malayalam,Product Management,Urban,IIT Delhi,180
Scientist,Rohit Sharma,Female,BTech Metallurgical and Materials,Nagpur,19,Football,Gujarati,Graphic Design,Urban,IIT Madras,181
IAS,Anil Kapoor,Male,MTech Metallurgical and Materials,Surat,24,Meditation,Maithili,Cloud Computing,Urban,IIT Roorkee,182
Entrepreneur,Ayushmann Khurrana,Female,MTech Mining,Navi Mumbai,23,Running,Malayalam,Content Writing,Minimalist,NIT Trichy,183
Software Developer,Priyanka Chopra,Male,MTech Electronics and Communication,Surathkal,22,PC Gaming,Odia,UI/UX Design,Minimalist,NIT Trichy,184
IPS,Katrina Kaif,Female,MTech Chemical,Meerut,23,Swimming,Punjabi,Copywriting,Urban,IIT Madras,185
Teacher,Salman Khan,Male,MTech Electronics and Communication,Meerut,22,Hangout,Malayalam,Data Science,Minimalist,IIT Gandhinagar,186
IPS,Katrina Kaif,Male,MTech Information Technology,Lucknow,23,Photography,Telugu,Digital Marketing,Minimalist,IIT Roorkee,187
Data Scientist,Anushka Sharma,Male,BTech Metallurgical and Materials,Kanpur,20,Chess,Malayalam,Data Visualization,Urban,IIT Roorkee,188
Web Developer,Ranbir Kapoor,Female,MTech Civil,Pune,24,Painting,Assamese,Web Development,Urban,IIT Hyderabad,189
Teacher,Sachin Tendulkar,Male,BTech Electronics and Communication,Allahabad,18,Manga,Malayalam,Data Visualization,Urban,NIT Jaipur,190
Data Engineer,Alia Bhatt,Male,MTech Mechanical,Jaipur,22,Volleyball,Gujarati,Content Writing,Urban,IIT Hyderabad,191
Entrepreneur,Virat Kohli,Male,MTech Mechanical,Varanasi,24,Volleyball,Tamil,Sales and Marketing,Minimalist,IIT Kharagpur,192
Entrepreneur,Rajkummar Rao,Female,BTech Electronics and Communication,Mangaluru,21,Hangout,Tamil,Data Analysis,Minimalist,IIT Delhi,193
IPS,Sachin Tendulkar,Male,MTech Computer Science ,Jodhpur,23,Cricket,Hindi,Animation,Minimalist,IIT Kanpur,194
Software Developer,Ranbir Kapoor,Female,MTech Computer Science ,Bareilly,23,Reading,Gujarati,UI/UX Design,Urban,NIT Kurukshetra,195
IPS,Hrithik Roshan,Female,MTech Computational and Data Sciences,Nashik,24,Photography,Maithili,Project Management,Urban,IIT Bombay,196
Web Developer,Shraddha Kapoor,Male,BTech Computer Science ,Dhanbad,19,PC Gaming,Punjabi,Blockchain,Minimalist,IIT Hyderabad,197
IAS,Anushka Sharma,Male,BTech Metallurgical and Materials,Mumbai,21,Reading,Marathi,Social Media Management,Minimalist,NIT Allahabad,198
Data Analyst,Katrina Kaif,Female,BTech Mechanical,Rajkot,20,Hiking,Gujarati,Animation,Minimalist,IIT Madras,199
Software Developer,Aamir Khan,Female,MTech Metallurgical and Materials,Surat,23,Chess,Odia,Management,Minimalist,NIT Allahabad,200
Data Scientist,Salman Khan,Male,BTech Electrical and Electronics,Srinagar,19,Attending Cultural Events,Tamil,Marketing Strategy,Minimalist,IIT Gandhinagar,201
Professor,Priyanka Chopra,Male,BTech Electronics and Communication,Guwahati,20,Swimming,Telugu,Blockchain,Urban,IIT Madras,202
Teacher,Rohit Sharma,Female,BTech Metallurgical and Materials,Jabalpur,21,Reading,Marathi,Data Analysis,Urban,NIT Hamirpur,203
Data Scientist,Aamir Khan,Male,BTech Mechanical,Ranchi,18,Singing,Odia,Marketing Strategy,Minimalist,NIT Allahabad,204
Teacher,Anushka Sharma,Female,MTech Electronics and Communication,Tiruchirappalli,24,Cricket,Odia,Project Management,Minimalist,IIT Delhi,205
IPS,Anushka Sharma,Male,MTech Chemical,Srinagar,22,Football,Assamese,Data Analysis,Urban,NIT Rourkela,206
Scientist,Alia Bhatt,Male,BTech Mechanical,Madurai,20,Photography,Marathi,Copywriting,Urban,NIT Warangal,207
Data Engineer,M. S. Dhoni,Female,BTech Computer Science ,Lucknow,20,Swimming,Tamil,Machine Learning,Minimalist,IIT Delhi,208
Data Engineer,Ranveer Singh,Male,MTech Mining,Coimbatore,22,Badminton,Marathi,UI/UX Research,Urban,NIT Rourkela,209
Data Analyst,Shah Rukh Khan,Female,BTech Electronics and Communication,Nagpur,21,Painting,Telugu,Marketing Strategy,Urban,IIT Hyderabad,210
Web Developer,Ayushmann Khurrana,Male,MTech Information Technology,Agra,24,Singing,Malayalam,Public Speaking,Urban,IIT Kharagpur,211
Data Analyst,Kareena Kapoor,Male,BTech Computer Science ,Navi Mumbai,18,Meditation,Kannada,UI/UX Research,Minimalist,NIT Allahabad,212
Data Scientist,Sachin Tendulkar,Male,BTech Information Technology,Tiruchirappalli,20,Volleyball,Punjabi,UI/UX Design,Minimalist,NIT Jamshedpur,213
Scientist,Ayushmann Khurrana,Male,BTech Metallurgical and Materials,Kolkata,20,Drama,Malayalam,Animation,Urban,IIT Indore,214
Scientist,Kriti Sanon,Female,MTech Metallurgical and Materials,Meerut,23,Meditation,Kannada,Video Editing,Minimalist,NIT Surathkal,215
Entrepreneur,Rajkummar Rao,Male,BTech Mining,Nagpur,19,Painting,Bengali,Cloud Computing,Urban,NIT Durgapur,216
Teacher,Virat Kohli,Male,BTech Information Technology,Nashik,21,Anime,Tamil,Mobile App Development,Urban,IIT Delhi,217
Professor,Ayushmann Khurrana,Male,BTech Computer Science ,Pune,20,Badminton,Tamil,UI/UX Design,Minimalist,NIT Trichy,218
Professor,Alia Bhatt,Female,BTech Electronics and Communication,Madurai,21,Dancing,Telugu,Graphic Design,Minimalist,IIT Kanpur,219
App Development,Shahid Kapoor,Female,MTech Civil,Surathkal,23,Singing,Marathi,Social Media Management,Minimalist,NIT Rourkela,220
Data Engineer,Sara Ali Khan,Female,BTech Mining,Ludhiana,18,Hiking,Telugu,DevOps,Minimalist,IIT Bombay,221
Scientist,Deepika Padukone,Female,BTech Electronics and Communication,Amritsar,21,PC Gaming,Bengali,Machine Learning,Urban,NIT Warangal,222
IPS,Deepika Padukone,Male,MTech Metallurgical and Materials,Kanpur,23,Hangout,Tamil,Content Writing,Urban,NIT Warangal,223
IPS,Deepika Padukone,Male,BTech Computational and Data Sciences,Gurgaon,19,Swimming,Tamil,Public Speaking,Urban,NIT Kurukshetra,224
Professor,Alia Bhatt,Female,BTech Mining,Tiruchirappalli,20,Hockey,Malayalam,Social Media Management,Urban,IIT Kharagpur,225
Professor,Amitabh Bachchan,Male,BTech Computational and Data Sciences,Dhanbad,19,Kabaddi,Marathi,Cloud Computing,Urban,IIT Roorkee,226
IPS,Virat Kohli,Female,MTech Information Technology,Gwalior,23,Writing,Bengali,Data Analysis,Minimalist,IIT Kanpur,227
Professor,Katrina Kaif,Male,MTech Mechanical,Gurgaon,22,Chess,Odia,Video Editing,Urban,IIT BHU,228
Web Developer,Ranbir Kapoor,Female,MTech Civil,Gwalior,23,Reading,Odia,Graphic Design,Minimalist,NIT Bhopal,229
Software Developer,Katrina Kaif,Male,MTech Computational and Data Sciences,Kanpur,24,Badminton,Bengali,Product Management,Minimalist,IIT BHU,230
Web Developer,Tiger Shroff,Male,BTech Metallurgical and Materials,Nashik,21,Hiking,Tamil,Game Development,Minimalist,NIT Bhopal,231
Data Analyst,Vicky Kaushal,Male,MTech Metallurgical and Materials,Ranchi,23,Chess,Bengali,Content Writing,Urban,IIT Bombay,232
Entrepreneur,Anil Kapoor,Female,MTech Civil,Lucknow,22,Reading,Odia,Sales and Marketing,Urban,NIT Kurukshetra,233
IAS,Janhvi Kapoor,Male,BTech Computer Science ,Bengaluru,18,Singing,Gujarati,Game Development,Urban,IIT Jodhpur,234
IAS,Shahid Kapoor,Male,MTech Civil,Nagpur,23,Yoga,Maithili,Copywriting,Urban,IIT Jodhpur,235
App Development,Sara Ali Khan,Male,MTech Civil,Allahabad,23,Kabaddi,Hindi,Graphic Design,Minimalist,IIT Kharagpur,236
App Development,Salman Khan,Male,BTech Mechanical,Indore,20,Learning new skills,Assamese,Game Development,Urban,IIT Delhi,237
IPS,Sara Ali Khan,Male,MTech Mechanical,Nashik,22,Painting,Punjabi,Blockchain,Urban,IIT Bombay,238
Teacher,Katrina Kaif,Male,BTech Information Technology,Aurangabad,21,Basketball,Punjabi,UI/UX Design,Minimalist,NIT Rourkela,239
IPS,Shah Rukh Khan,Female,BTech Mining,Gurgaon,19,Tennis,Hindi,Blockchain,Urban,IIT Gandhinagar,240
Data Analyst,Rohit Sharma,Male,MTech Mechanical,Visakhapatnam,24,WebSeries,Bengali,Data Science,Minimalist,IIT Indore,241
Scientist,Kriti Sanon,Female,BTech Metallurgical and Materials,Haora,19,Chess,Telugu,Data Visualization,Minimalist,NIT Trichy,242
Software Developer,Vicky Kaushal,Male,BTech Civil,Chandigarh,20,Attending Cultural Events,Telugu,DevOps,Minimalist,IIT Kharagpur,243
Entrepreneur,Deepika Padukone,Female,BTech Metallurgical and Materials,Kolkata,21,Writing,Odia,Cloud Computing,Urban,IIT BHU,244
Web Developer,Shah Rukh Khan,Male,MTech Information Technology,Lucknow,22,Reading,Tamil,Graphic Design,Urban,IIT Gandhinagar,245
Data Analyst,Vicky Kaushal,Male,BTech Computational and Data Sciences,Amritsar,21,Meditation,Assamese,Trading,Minimalist,NIT Rourkela,246
Data Engineer,Ranveer Singh,Female,BTech Mechanical,Thiruvananthapuram,19,Painting,Tamil,Cyber Security,Urban,NIT Allahabad,247
App Development,Tiger Shroff,Male,MTech Computer Science ,Guwahati,23,Learning new skills,Punjabi,Game Development,Minimalist,NIT Durgapur,248
App Development,Aamir Khan,Male,BTech Information Technology,Ahmedabad,20,Anime,Maithili,Product Management,Minimalist,IIT Guwahati,249
Web Developer,Deepika Padukone,Female,MTech Electrical and Electronics,Hubli and Dharwad,24,Badminton,Maithili,Video Editing,Minimalist,NIT Jaipur,250
IAS,Virat Kohli,Female,MTech Mechanical,Dhanbad,22,WebSeries,Tamil,Social Media Management,Urban,IIT Gandhinagar,251
Teacher,Amitabh Bachchan,Male,BTech Computational and Data Sciences,Madurai,20,Tennis,Odia,Graphic Design,Urban,NIT Hamirpur,252
IPS,Rohit Sharma,Male,BTech Information Technology,Vadodara,20,Manga,Odia,Content Writing,Minimalist,NIT Kurukshetra,253
Web Developer,Shraddha Kapoor,Male,MTech Electrical and Electronics,Rajkot,22,Attending Cultural Events,Odia,Data Visualization,Urban,NIT Kurukshetra,254
Data Scientist,Priyanka Chopra,Female,BTech Computer Science ,Meerut,20,Running,Marathi,Mobile App Development,Urban,NIT Kurukshetra,255
Data Scientist,Alia Bhatt,Male,BTech Civil,Varanasi,20,Reading,Odia,Video Editing,Urban,NIT Durgapur,256
App Development,Anushka Sharma,Male,MTech Computational and Data Sciences,Surathkal,22,Cricket,Bengali,DevOps,Minimalist,NIT Trichy,257
Entrepreneur,Shah Rukh Khan,Male,BTech Electrical and Electronics,Mira and Bhayander,21,Hangout,Marathi,Data Science,Minimalist,IIT Kharagpur,258
Data Engineer,Katrina Kaif,Male,BTech Mining,Bhubaneswar,18,Photography,Punjabi,Management,Urban,NIT Durgapur,259
Software Developer,Salman Khan,Female,MTech Metallurgical and Materials,Aurangabad,23,Singing,Odia,DevOps,Urban,NIT Durgapur,260
IPS,Virat Kohli,Male,BTech Electronics and Communication,Aurangabad,19,Meditation,Telugu,Cyber Security,Minimalist,IIT Bombay,261
Entrepreneur,Ranbir Kapoor,Female,BTech Civil,Visakhapatnam,20,Football,Hindi,Animation,Minimalist,IIT Guwahati,262
Data Scientist,Alia Bhatt,Male,BTech Mechanical,Navi Mumbai,18,Hockey,Maithili,Data Visualization,Urban,IIT Guwahati,263
Data Engineer,Shahid Kapoor,Female,MTech Civil,Ranchi,24,PC Gaming,Assamese,Public Speaking,Urban,IIT Delhi,264
IPS,Ranbir Kapoor,Male,MTech Mechanical,Mangaluru,23,PC Gaming,Marathi,Blockchain,Minimalist,NIT Durgapur,265
Web Developer,Sara Ali Khan,Female,MTech Chemical,Tiruchirappalli,24,Reading,Malayalam,Animation,Minimalist,IIT Delhi,266
Teacher,Vicky Kaushal,Male,MTech Mechanical,Mira and Bhayander,22,Anime,Telugu,Copywriting,Minimalist,IIT Delhi,267
Software Developer,Rajkummar Rao,Female,MTech Electrical and Electronics,Thane,24,Volleyball,Kannada,Cloud Computing,Minimalist,IIT Madras,268
Teacher,Shraddha Kapoor,Male,MTech Mining,Solapur,24,Photography,Hindi,Cloud Computing,Urban,NIT Jamshedpur,269
Software Developer,Rajkummar Rao,Female,MTech Computational and Data Sciences,Varanasi,23,Mobile Gaming,Assamese,Data Science,Urban,IIT Indore,270
Software Developer,Sara Ali Khan,Male,MTech Chemical,Chandigarh,23,Tennis,Tamil,Web Development,Minimalist,NIT Jaipur,271
Teacher,Shraddha Kapoor,Female,MTech Information Technology,Coimbatore,23,Attending Cultural Events,Malayalam,Video Editing,Minimalist,NIT Hamirpur,272
Data Analyst,Varun Dhawan,Male,BTech Civil,Indore,20,Hiking,Bengali,Content Writing,Minimalist,NIT Bhopal,273
Entrepreneur,Akshay Kumar,Female,BTech Electronics and Communication,Meerut,21,Singing,Gujarati,Trading,Minimalist,NIT Jaipur,274
Professor,Varun Dhawan,Male,MTech Electronics and Communication,Salem,22,Drama,Tamil,Video Editing,Urban,IIT Jodhpur,275
Software Developer,Ranbir Kapoor,Female,BTech Computer Science ,Agra,21,Photography,Malayalam,Blockchain,Urban,NIT Hamirpur,276
IAS,Tiger Shroff,Male,BTech Metallurgical and Materials,Gurgaon,21,Meditation,Assamese,Social Media Management,Minimalist,IIT Jodhpur,277
IPS,Sara Ali Khan,Female,BTech Mechanical,Amritsar,21,Hockey,Tamil,Trading,Minimalist,IIT Guwahati,278
Scientist,Shraddha Kapoor,Male,BTech Civil,Amritsar,19,Writing,Bengali,Trading,Minimalist,NIT Rourkela,279
IAS,Salman Khan,Female,BTech Mechanical,Bhopal,21,WebSeries,Bengali,Data Visualization,Minimalist,NIT Hamirpur,280
Data Engineer,M. S. Dhoni,Male,MTech Electrical and Electronics,Bareilly,24,Hiking,Bengali,Machine Learning,Minimalist,NIT Surathkal,281
Professor,Amitabh Bachchan,Female,BTech Computational and Data Sciences,Tiruchirappalli,20,Learning new skills,Maithili,Project Management,Urban,IIT Delhi,282
IAS,Katrina Kaif,Male,BTech Computer Science ,Srinagar,20,Meditation,Hindi,Sales and Marketing,Urban,NIT Allahabad,283
Data Scientist,Vicky Kaushal,Female,MTech Electrical and Electronics,Patna,24,Hockey,Assamese,Video Editing,Urban,IIT Indore,284
App Development,Virat Kohli,Female,BTech Mining,Thane,18,Anime,Punjabi,Data Science,Urban,IIT Jodhpur,285
IPS,Rajkummar Rao,Female,MTech Mining,Srinagar,22,Hockey,Gujarati,Product Management,Urban,IIT Delhi,286
Data Analyst,Hrithik Roshan,Female,BTech Chemical,Bhopal,19,Manga,Bengali,Mobile App Development,Urban,IIT Delhi,287
Entrepreneur,Alia Bhatt,Female,MTech Metallurgical and Materials,Pune,23,Drama,Bengali,Digital Marketing,Urban,NIT Jamshedpur,288
Professor,Sara Ali Khan,Female,MTech Computational and Data Sciences,Ghaziabad,24,Mobile Gaming,Tamil,UI/UX Research,Urban,IIT Kanpur,289
Professor,M. S. Dhoni,Female,BTech Chemical,Amritsar,20,WebSeries,Gujarati,Content Writing,Urban,IIT Delhi,290
Professor,Akshay Kumar,Female,BTech Civil,Mangaluru,18,Yoga,Kannada,Trading,Urban,NIT Jaipur,291
IPS,Shraddha Kapoor,Female,BTech Electronics and Communication,Delhi,19,Mobile Gaming,Maithili,Blockchain,Urban,IIT Guwahati,292
Scientist,Priyanka Chopra,Female,MTech Mining,Mysore,23,Anime,Punjabi,Sales and Marketing,Minimalist,NIT Kurukshetra,293
App Development,Katrina Kaif,Female,MTech Chemical,Haora,24,Meditation,Bengali,Mobile App Development,Urban,IIT Jodhpur,294
Software Developer,Aamir Khan,Female,BTech Electronics and Communication,Ahmedabad,20,Writing,Telugu,UI/UX Research,Urban,IIT Delhi,295
Web Developer,Salman Khan,Female,MTech Mining,Mysore,24,Kabaddi,Odia,Blockchain,Urban,NIT Bhopal,296
Teacher,Alia Bhatt,Male,BTech Mechanical,Thane,18,Running,Gujarati,Graphic Design,Minimalist,NIT Jamshedpur,297
Web Developer,Deepika Padukone,Male,MTech Metallurgical and Materials,Raipur,24,Hangout,Assamese,DevOps,Urban,IIT Indore,298
Teacher,Amitabh Bachchan,Male,MTech Chemical,Lucknow,22,Yoga,Telugu,Copywriting,Minimalist,NIT Jaipur,299
IAS,Aamir Khan,Female,BTech Chemical,Salem,20,Swimming,Marathi,Sales and Marketing,Urban,IIT Hyderabad,300
Data Analyst,Kareena Kapoor,Male,MTech Chemical,Mangaluru,24,Photography,Punjabi,Sales and Marketing,Urban,NIT Jamshedpur,301
IPS,Akshay Kumar,Female,BTech Electrical and Electronics,Gurgaon,20,Volleyball,Malayalam,Marketing Strategy,Urban,NIT Jaipur,302
Professor,Varun Dhawan,Male,BTech Electrical and Electronics,Mysore,19,Badminton,Marathi,Data Analysis,Urban,NIT Hamirpur,303
Data Engineer,Virat Kohli,Female,BTech Mechanical,Lucknow,18,Chess,Punjabi,Graphic Design,Minimalist,NIT Hamirpur,304
Data Analyst,Sara Ali Khan,Male,MTech Mining,Vijayawada,24,Mobile Gaming,Punjabi,Social Media Management,Minimalist,NIT Jamshedpur,305
Data Analyst,Ranveer Singh,Female,BTech Chemical,Kolkata,20,Hiking,Odia,Machine Learning,Minimalist,NIT Kurukshetra,306
Teacher,Katrina Kaif,Female,MTech Chemical,Kanpur,22,Chess,Maithili,Sales and Marketing,Urban,IIT Hyderabad,307
IAS,Deepika Padukone,Female,MTech Electrical and Electronics,Pune,22,Painting,Marathi,Video Editing,Urban,IIT Madras,308
IAS,Ranbir Kapoor,Female,MTech Mechanical,Gwalior,22,Painting,Assamese,Social Media Management,Minimalist,NIT Warangal,309
Professor,Rajkummar Rao,Male,BTech Chemical,Madurai,20,Hangout,Assamese,Video Editing,Urban,IIT Indore,310
Teacher,Akshay Kumar,Male,MTech Electrical and Electronics,Nagpur,23,WebSeries,Maithili,Digital Marketing,Urban,NIT Surathkal,311
Professor,Sara Ali Khan,Female,MTech Information Technology,Gwalior,24,Anime,Odia,UI/UX Research,Urban,IIT Kanpur,312
Software Developer,Shraddha Kapoor,Male,BTech Chemical,Meerut,20,Hockey,Gujarati,Product Management,Urban,IIT Bombay,313
Software Developer,Ranveer Singh,Female,BTech Mechanical,Kanpur,18,Photography,Tamil,Public Speaking,Minimalist,IIT Guwahati,314
Web Developer,Aishwarya Rai Bachchan,Male,MTech Computational and Data Sciences,Allahabad,23,Chess,Odia,Copywriting,Minimalist,IIT BHU,315
Data Engineer,Akshay Kumar,Female,BTech Computational and Data Sciences,Agra,21,Yoga,Gujarati,UI/UX Research,Minimalist,IIT Roorkee,316
Teacher,Aamir Khan,Male,BTech Civil,Bareilly,20,Volleyball,Assamese,Public Speaking,Urban,NIT Kurukshetra,317
IPS,Janhvi Kapoor,Male,MTech Metallurgical and Materials,Kota,22,Painting,Hindi,Data Science,Urban,IIT Delhi,318
Teacher,Sara Ali Khan,Male,MTech Metallurgical and Materials,Tiruchirappalli,24,Anime,Odia,Product Management,Urban,NIT Rourkela,319
IPS,Shraddha Kapoor,Female,BTech Computational and Data Sciences,Bhubaneswar,20,Photography,Kannada,Copywriting,Urban,NIT Hamirpur,320
IPS,Janhvi Kapoor,Male,BTech Computational and Data Sciences,Coimbatore,21,Painting,Bengali,Data Analysis,Urban,IIT Kharagpur,321
Data Analyst,Vicky Kaushal,Male,BTech Information Technology,Bhopal,21,Hiking,Gujarati,Management,Minimalist,IIT Bombay,322
Professor,Priyanka Chopra,Male,MTech Information Technology,Thane,23,Anime,Hindi,Data Visualization,Minimalist,IIT Hyderabad,323
Teacher,M. S. Dhoni,Male,MTech Information Technology,Thiruvananthapuram,23,Football,Bengali,Social Media Management,Urban,IIT Guwahati,324
IPS,Deepika Padukone,Male,MTech Mining,Haora,24,Mobile Gaming,Malayalam,Graphic Design,Minimalist,IIT Hyderabad,325
Teacher,Aamir Khan,Male,BTech Electrical and Electronics,Ahmedabad,18,Swimming,Tamil,Data Analysis,Minimalist,NIT Jamshedpur,326
Web Developer,Rajkummar Rao,Female,BTech Civil,Srinagar,18,Chess,Kannada,UI/UX Design,Urban,IIT Kharagpur,327
Data Analyst,Shraddha Kapoor,Male,MTech Computer Science ,Lucknow,24,Football,Odia,Graphic Design,Minimalist,IIT Kanpur,328
Teacher,Janhvi Kapoor,Female,MTech Metallurgical and Materials,Hyderabad,23,Anime,Malayalam,Mobile App Development,Urban,NIT Hamirpur,329
Data Analyst,Ranbir Kapoor,Female,BTech Civil,Chennai,19,Attending Cultural Events,Gujarati,Data Visualization,Urban,NIT Jamshedpur,330
Teacher,Janhvi Kapoor,Male,MTech Mining,Rajkot,22,Learning new skills,Kannada,Trading,Urban,IIT Kanpur,331
